test,pred
32.8,32.5364
27.43,27.469299999999993
25.76,25.276600000000002
32.72,36.349799999999995
15.41,15.476000000000004
29.99,29.670900000000003
29.05,29.11469999999999
33.11,33.54120000000003
15.23,15.084099999999994
15.11,14.9031
28.54,29.20480000000002
19.41,20.51510000000001
26.11,23.369699999999998
25.55,25.736000000000004
19.33,18.58859999999999
27.86,28.82190000000001
31.39,30.4042
32.83,32.712199999999996
30.02,29.9468
37.11,37.48319999999999
36.58,35.372299999999996
32.62,32.71340000000001
32.44,33.884600000000006
37.27,36.70430000000001
32.15,32.25480000000002
30.7,32.460800000000006
39.83,41.40420000000001
45.23,43.236699999999985
41.66,41.831
37.9,36.6555
41.05,40.40490000000001
46.82,45.70439999999999
57.38,58.41719999999997
55.29,53.764700000000005
43.09,42.1883
58.56,59.52419999999997
51.42,50.09949999999999
41.01,41.16580000000002
51.18,51.50179999999998
44.0,43.84649999999996
43.19,43.85340000000003
44.43,44.968100000000014
39.59,39.88320000000002
36.32,37.20730000000002
41.39,41.23759999999999
47.8,47.99799999999999
42.3,42.2188
45.33,46.45430000000002
48.4,48.38930000000002
36.46,37.23679999999999
48.05,47.81250000000001
37.55,37.41749999999999
39.98,40.6763
37.11,38.719199999999994
31.99,31.929100000000012
34.66,32.400299999999994
40.08,40.156699999999994
34.53,35.37869999999999
32.76,33.085100000000025
45.04,45.51089999999999
42.93,43.54659999999999
38.82,39.94830000000001
38.77,37.27639999999999
31.17,32.14580000000001
32.78,32.494300000000024
36.52,35.71730000000001
36.2,35.963999999999984
32.25,32.54500000000002
32.18,31.386999999999993
30.13,30.321100000000005
35.34,35.57819999999997
34.29,31.4017
30.94,31.15229999999999
23.91,23.938300000000005
22.94,23.489800000000006
26.84,26.585000000000004
26.85,26.709899999999998
16.25,16.09050000000001
30.71,32.456600000000016
30.24,28.774199999999993
20.44,20.52330000000001
29.99,29.889000000000014
27.48,27.7454
19.33,22.765100000000004
26.97,27.22649999999999
36.51,34.025499999999994
16.84,17.1947
26.24,26.681099999999997
30.47,30.3462
24.02,24.557000000000016
32.41,30.846600000000002
14.8,15.14959999999999
16.48,16.65810000000001
15.19,15.465000000000002
29.72,30.668100000000003
33.14,35.895900000000005
28.51,29.1048
30.68,32.20109999999999
28.94,29.428600000000007
22.84,22.543099999999992
36.29,35.94999999999999
33.03,33.478599999999986
27.72,27.559399999999993
23.82,23.7143
