test,pred
3451.92,3391.8571
2886.58,2903.0547
2711.68,2642.1162000000018
3445.04,3694.2424000000005
1620.9,1648.0005
3156.83,3086.0943999999995
3057.68,3077.948699999999
3485.11,3533.7172000000014
1604.56,1590.8442000000005
1590.33,1601.5169999999998
3002.5,3082.675399999999
2043.61,2192.1641
2748.32,2417.130000000001
2689.17,2700.1475000000005
2036.14,1983.6882000000007
2933.52,3026.145599999998
3304.68,3203.6394000000005
3456.28,3439.8585000000007
3160.11,3158.522200000001
3906.17,3937.5384000000013
3849.8,3702.8410999999983
3433.57,3419.2254
3413.85,3570.273800000001
3923.11,3855.2918000000004
3383.7,3396.5364999999997
3282.16,3351.8705999999993
4193.12,4326.418599999999
4760.86,4568.0497
4360.06,4373.4195
3989.27,3835.5447999999997
4320.3,4214.7027
4927.85,4843.834399999998
6039.41,6079.709099999999
5819.58,5660.1813
4535.4,4496.225300000003
6162.96,6267.178000000001
5413.18,5289.866200000002
4317.65,4315.776500000001
5389.63,5446.0352
4631.26,4610.626699999997
4546.82,4595.6627
4675.63,4729.572
4167.58,4214.172
3823.09,3925.5006
4356.1,4340.418600000001
5031.55,5047.218999999999
4451.69,4432.829600000001
4724.29,4883.478599999999
5095.49,5051.7338999999965
3837.83,3910.4395
5057.66,5007.654300000002
3951.71,3930.0115999999985
4207.82,4263.991199999999
3906.06,3980.413599999998
3362.64,3332.5499000000004
3469.4,3403.9725000000017
4065.02,4255.8262
3635.45,3708.8612999999987
3449.42,3495.2204999999985
4741.3,4792.5209
4519.68,4542.081499999998
4087.35,4209.949599999999
4081.18,3910.1325999999976
3281.04,3363.586200000001
3452.17,3417.3735999999994
3844.52,3751.167199999999
3810.25,3774.4442999999983
3395.2,3457.419799999999
3371.8,3311.720399999999
3170.72,3203.333300000002
3719.74,3775.1307999999985
3608.78,3266.2319
3257.27,3276.456700000001
2516.63,2482.5463000000013
2361.11,2413.7382000000016
2823.37,2792.672800000002
2827.87,2814.5003
1709.59,1681.4561000000008
3232.45,3406.7243000000017
3183.55,3067.9565000000016
2152.38,2161.334999999999
3155.63,3172.036400000001
2892.68,2934.6610000000005
2783.22,2799.010600000002
2839.3,2864.2563999999998
3843.73,3603.2212999999992
1770.8,1805.4481
2762.47,2796.9712000000004
3208.22,3211.2200999999977
2529.27,2834.4176999999986
3254.2,3206.9685999999992
1556.63,1587.4944999999989
1734.75,1754.4003000000005
1599.29,1632.1116999999995
3128.58,3195.6899999999996
3488.73,3743.676199999998
3000.68,3067.593800000002
3229.09,3412.8984000000014
3047.15,3078.0889
2404.98,2382.2041999999997
3819.04,3781.189899999999
3476.9,3495.514599999999
2917.12,2905.4503999999997
2506.61,2496.037100000002
