TIMESLOT,Actual,Predicted
2018-12-09 03:00:00,1427.57,1748.806031853293
2018-12-09 04:00:00,1423.74,1804.556847793451
2018-12-09 05:00:00,1559.54,1862.428497267623
2018-12-09 06:00:00,1903.72,2023.3232052368394
2018-12-09 07:00:00,2393.44,2375.687090176391
2018-12-09 08:00:00,2931.96,2360.3433656956836
2018-12-09 09:00:00,3169.85,2416.405113977999
2018-12-09 10:00:00,3466.94,2883.6245169034078
2018-12-09 11:00:00,3507.56,2965.0323872469357
2018-12-09 12:00:00,3370.54,2834.701372213946
2018-12-09 13:00:00,3078.04,2810.3511834030755
2018-12-09 14:00:00,2808.72,2810.3511834030755
2018-12-09 15:00:00,2671.06,2699.950519809487
2018-12-09 16:00:00,2557.12,2846.1952353425854
2018-12-09 17:00:00,2619.39,2926.3380885036886
2018-12-09 18:00:00,2997.53,2400.5240957117835
2018-12-09 19:00:00,2940.02,2311.976549091767
2018-12-09 20:00:00,2740.41,2059.2819756315835
2018-12-09 21:00:00,2530.38,2193.359843962517
2018-12-09 22:00:00,2281.76,1977.1512825400741
2018-12-09 23:00:00,1980.6,1997.738200009024
2018-12-10 00:00:00,1713.06,1869.2858633996561
2018-12-10 01:00:00,1535.14,1725.0579789998474
2018-12-10 02:00:00,1456.07,1675.8157003928625
2018-12-10 03:00:00,1402.23,1688.5526198701264
2018-12-10 04:00:00,1464.17,1827.9212999818537
2018-12-10 05:00:00,1615.89,1986.6150764134375
2018-12-10 06:00:00,2425.91,2209.788578455722
2018-12-10 07:00:00,3029.97,2611.683689793411
2018-12-10 08:00:00,3308.33,2554.8599754766265
2018-12-10 09:00:00,3347.4,2617.9647230267437
2018-12-10 10:00:00,3455.92,3194.2651579231187
2018-12-10 11:00:00,3433.13,3275.6730282666467
2018-12-10 12:00:00,3283.37,3199.1200385939865
2018-12-10 13:00:00,3019.07,3174.769849783116
2018-12-10 14:00:00,2849.26,3174.769849783116
2018-12-10 15:00:00,2827.98,3215.889987872964
2018-12-10 16:00:00,2793.89,3296.0558463148636
2018-12-10 17:00:00,2834.65,3100.7849898105987
2018-12-10 18:00:00,3247.41,2847.8455999923026
2018-12-10 19:00:00,3209.28,2703.570411304345
2018-12-10 20:00:00,2926.13,2287.644148571218
2018-12-10 21:00:00,2747.34,2169.396295880589
2018-12-10 22:00:00,2457.99,2106.219995667112
2018-12-10 23:00:00,2218.64,2083.445097236351
2018-12-11 00:00:00,1822.77,1954.992760626985
2018-12-11 01:00:00,1609.9,1803.0296387731873
2018-12-11 02:00:00,1506.28,1753.7873601662031
2018-12-11 03:00:00,1446.16,1731.9473638349625
2018-12-11 04:00:00,1429.89,1871.3160439466901
2018-12-11 05:00:00,1665.11,1988.5298305421968
2018-12-11 06:00:00,2332.1,2253.1833224205584
2018-12-11 07:00:00,3084.41,2649.2254743518884
2018-12-11 08:00:00,3359.24,2592.401760035104
2018-12-11 09:00:00,3337.47,2655.5065075852212
2018-12-11 10:00:00,3570.03,2810.125768877956
2018-12-11 11:00:00,3540.41,3178.590759192837
2018-12-11 12:00:00,3379.54,3284.957449980319
2018-12-11 13:00:00,3068.83,3269.932562176366
2018-12-11 14:00:00,2916.43,3271.4582033948695
2018-12-11 15:00:00,2891.83,3296.0558463148636
2018-12-11 16:00:00,2888.2,3296.0558463148636
