TIMESLOT,Actual,Predicted
2018-12-09 08:00:00,2931.96,2968.011847896543
2018-12-09 09:00:00,3169.85,3211.2516280457944
2018-12-09 10:00:00,3466.94,3394.421117605029
2018-12-09 11:00:00,3507.56,3456.2026306666958
2018-12-09 12:00:00,3370.54,3295.59722417398
2018-12-09 13:00:00,3078.04,3013.5160019767295
2018-12-09 14:00:00,2808.72,2800.3508892774767
2018-12-09 15:00:00,2671.06,2680.5470688134837
2018-12-09 16:00:00,2557.12,2622.746089362772
2018-12-09 17:00:00,2619.39,2682.0682748062427
2018-12-09 18:00:00,2997.53,2883.3620897359915
2018-12-09 19:00:00,2940.02,3049.7222381653655
2018-12-09 20:00:00,2740.41,2887.8885936215993
2018-12-09 21:00:00,2530.38,2554.0339337075407
2018-12-09 22:00:00,2281.76,2323.334539384634
2018-12-09 23:00:00,1980.6,2126.6778512331307
2018-12-10 00:00:00,1713.06,1738.9735160001046
2018-12-10 01:00:00,1535.14,1629.158932152915
2018-12-10 02:00:00,1456.07,1528.9263034657333
2018-12-10 03:00:00,1402.23,1513.8202553831243
2018-12-10 04:00:00,1464.17,1531.631447494464
2018-12-10 05:00:00,1615.89,1628.7696347503347
2018-12-10 06:00:00,2425.91,2199.4508149903045
2018-12-10 07:00:00,3029.97,2872.3776013029315
2018-12-10 08:00:00,3308.33,3268.3664678522136
2018-12-10 09:00:00,3347.4,3441.3570493806496
2018-12-10 10:00:00,3455.92,3588.8619322798286
2018-12-10 11:00:00,3433.13,3515.0911314203377
2018-12-10 12:00:00,3283.37,3329.597871926076
2018-12-10 13:00:00,3019.07,3121.721911661467
2018-12-10 14:00:00,2849.26,2953.1407577184386
2018-12-10 15:00:00,2827.98,2920.0617566075557
2018-12-10 16:00:00,2793.89,2802.1162700679292
2018-12-10 17:00:00,2834.65,2920.112339508191
2018-12-10 18:00:00,3247.41,3088.086728805551
2018-12-10 19:00:00,3209.28,3220.2424735866252
2018-12-10 20:00:00,2926.13,2921.6033034644834
2018-12-10 21:00:00,2747.34,2667.1146684807522
2018-12-10 22:00:00,2457.99,2403.3516669385285
2018-12-10 23:00:00,2218.64,2126.406260354805
2018-12-11 00:00:00,1822.77,1787.2810804807746
2018-12-11 01:00:00,1609.9,1651.376522739497
2018-12-11 02:00:00,1506.28,1561.43304011613
2018-12-11 03:00:00,1446.16,1532.1341665194122
2018-12-11 04:00:00,1429.89,1538.43703233715
2018-12-11 05:00:00,1665.11,1669.3474270788138
2018-12-11 06:00:00,2332.1,2460.562648039159
2018-12-11 07:00:00,3084.41,3063.9416770249704
2018-12-11 08:00:00,3359.24,3395.338027257271
2018-12-11 09:00:00,3337.47,3451.0751673735363
2018-12-11 10:00:00,3570.03,3525.7460302942513
2018-12-11 11:00:00,3540.41,3579.4120683819806
2018-12-11 12:00:00,3379.54,3425.595844733483
2018-12-11 13:00:00,3068.83,3097.603927134016
2018-12-11 14:00:00,2916.43,2925.692690161349
2018-12-11 15:00:00,2891.83,2908.9612345156434
2018-12-11 16:00:00,2888.2,2859.6306779845436
2018-12-11 17:00:00,2895.13,3000.632670674923
2018-12-11 18:00:00,3319.84,3203.3230458085077
